Current Commit,Parent Commit,Commit Date,Type,sqale_index_current,sqale_index_parent,lines_current,lines_parent,Seniority,Commit,lines,cumulative_lines,sqale_index,cumulative_sqale_index
c4aab16b0440f9cfccb629ebaa912c46b95b46aa,affba42a0520ecf6bab040fb7971284ef9bf450a,2015-07-10 10:54:47-07:00,Normal,94514.0,94499.0,833950.0,833796.0,0,1.0,154.0,154.0,15.0,15.0
59dca5ba7d70cde8a0b50b182f817ccfece92cab,9ef38c124c1caa1cbf927de97a007c83f624b12a,2015-07-10 10:54:47-07:00,Normal,94514.0,94514.0,833950.0,833950.0,0,2.0,0.0,154.0,0.0,15.0
c03a788c6768bfd59e8ab56546a91c9abe46723a,c4aab16b0440f9cfccb629ebaa912c46b95b46aa,2015-07-10 10:54:47-07:00,Normal,94514.0,94514.0,833950.0,833950.0,0,3.0,0.0,154.0,0.0,15.0
9ef38c124c1caa1cbf927de97a007c83f624b12a,c03a788c6768bfd59e8ab56546a91c9abe46723a,2015-07-10 10:54:47-07:00,Normal,94514.0,94514.0,833950.0,833950.0,0,4.0,0.0,154.0,0.0,15.0
1263a306447645ec2a9eb44b9db383b3dd5a8591,ffcc6cadb0406de99418c5465e25d8617c1d8796,2015-07-13 17:47:48-07:00,Normal,94591.0,94591.0,835278.0,835278.0,3,5.0,0.0,154.0,0.0,15.0
bf77ecc3a981d59c95d75f1ca2685974fed4395e,a41f508451a8a0b917ab5e0627296c86889ec9db,2015-07-13 17:47:48-07:00,Normal,94591.0,94545.0,835278.0,834936.0,3,6.0,342.0,496.0,46.0,61.0
ffcc6cadb0406de99418c5465e25d8617c1d8796,bf77ecc3a981d59c95d75f1ca2685974fed4395e,2015-07-13 17:47:48-07:00,Normal,94591.0,94591.0,835278.0,835278.0,3,7.0,0.0,496.0,0.0,61.0
821e08fded03c245806e6ec18f277049ca466df3,1263a306447645ec2a9eb44b9db383b3dd5a8591,2015-07-13 17:48:40-07:00,Normal,94591.0,94591.0,835278.0,835278.0,3,8.0,0.0,496.0,0.0,61.0
0dd130ea18b7e9b4214c36f22cd68b92493d51a5,821e08fded03c245806e6ec18f277049ca466df3,2015-07-13 17:48:40-07:00,Normal,94591.0,94591.0,835278.0,835278.0,3,9.0,0.0,496.0,0.0,61.0
2c333e4bc2dd2d0dbb88249a8cf4310e7195bbca,bdbcbe2e2fbde0528d387614bd7521f6e7be33c5,2015-07-13 18:24:11-07:00,Normal,94591.0,94591.0,835278.0,835278.0,3,10.0,0.0,496.0,0.0,61.0
b1555956e9e2799a4308563f277a058175948c79,2c333e4bc2dd2d0dbb88249a8cf4310e7195bbca,2015-07-13 18:32:00-07:00,Normal,94591.0,94591.0,835278.0,835278.0,3,11.0,0.0,496.0,0.0,61.0
28236a25c95271719fe5eb9ae406e0708daddb03,c6161824db3784e6156131307a5e94647e5557fd,2015-07-14 11:36:16-07:00,Normal,94591.0,94591.0,835278.0,835278.0,4,12.0,0.0,496.0,0.0,61.0
4d1bf3a0ca99ff9f41e7b7aa73426aa903ac8b21,f3b752d831708ccdad564bd188abb11822c51595,2015-07-16 16:23:19-07:00,Normal,94644.0,94639.0,835622.0,835602.0,6,13.0,20.0,516.0,5.0,66.0
98eeadb66e1042ce1ab6c1e75fbb69db00e334a8,4d1bf3a0ca99ff9f41e7b7aa73426aa903ac8b21,2015-07-16 16:28:18-07:00,Normal,94644.0,94644.0,835622.0,835622.0,6,14.0,0.0,516.0,0.0,66.0
2a112a0004f28afcac2c0bb5f8be76703adb9727,e81645b973b2e9fef5e6d216455f6a75f537d7ed,2015-07-17 11:04:46-07:00,Normal,94668.0,94658.0,836094.0,836010.0,7,15.0,84.0,600.0,10.0,76.0
f7873d2a1ffd2874051d8368a8fdcc039ad82395,2a112a0004f28afcac2c0bb5f8be76703adb9727,2015-07-17 11:04:46-07:00,Normal,94668.0,94668.0,836094.0,836094.0,7,16.0,0.0,600.0,0.0,76.0
c603542221e2c3a8396e2cc6d48b778decafbb22,e81645b973b2e9fef5e6d216455f6a75f537d7ed,2015-07-17 11:14:48-07:00,Normal,94658.0,94658.0,836010.0,836010.0,7,17.0,0.0,600.0,0.0,76.0
b563bb3760bd84dab8abc75d67611479ef3fbed4,f7873d2a1ffd2874051d8368a8fdcc039ad82395,2015-07-17 11:58:50-07:00,Normal,94668.0,94668.0,836098.0,836094.0,7,18.0,4.0,604.0,0.0,76.0
86ecc4f9660f1d28485f93c2159db955d24f0e19,1be091da0765a7ba72eef26d32e03523647af3cd,2015-07-17 11:59:13-07:00,Normal,94658.0,94658.0,836014.0,836010.0,7,19.0,4.0,608.0,0.0,76.0
2c046685f687e0a7cee3db6da512d81473ac71fa,b563bb3760bd84dab8abc75d67611479ef3fbed4,2015-07-17 12:02:35-07:00,Normal,94668.0,94668.0,836098.0,836098.0,7,20.0,0.0,608.0,0.0,76.0
ebff4ff746293c51eb86f1b1fb41f72d56746e8f,2cf2f9f93f765f53fba0239bf0bcafc6ac23eefb,2015-07-17 15:32:23-07:00,Normal,94670.0,94670.0,836108.0,836108.0,7,21.0,0.0,608.0,0.0,76.0
283435ab120a5192fa211a0824e3601a388146e7,84c76d1142ea4d367c23618ad7cedad4fd22540c,2015-07-17 18:01:58-07:00,Normal,94722.0,94722.0,895776.0,895776.0,7,22.0,0.0,608.0,0.0,76.0
022ccb475db095a7f6d43c7b63c18c9ae802f98a,2d88675f2203d316d4bac312c7ccad12991b56c2,2015-07-20 11:46:23-07:00,Normal,94722.0,94722.0,895773.0,895773.0,10,23.0,0.0,608.0,0.0,76.0
15d50f4211be96190d42454ec4b357dfe3f99602,cc326c714b34139b7fca6be7eb27dc2f86723870,2015-07-23 15:48:45-07:00,Normal,94793.0,94793.0,896283.0,896269.0,13,24.0,14.0,622.0,0.0,76.0
d63e35247f6d4b28f40f4ce8c7a3a57b523ce97a,2236fee028a7cb4c38b3324fdefcddb31e32bbb0,2015-07-27 10:05:31-07:00,Merge,,,,,16,24.0,,,,
d63e35247f6d4b28f40f4ce8c7a3a57b523ce97a,74b78d537df6dee6842573f2b78ea28dbdf87ade,2015-07-27 10:05:31-07:00,Merge,,,,,16,25.0,,,,
e45c6f9847b21393403067dc0d8ae0019811d3d6,02b431da46a7ab9b73f26c8b2f57ca5942c27637,2015-07-27 11:46:47-07:00,Merge,,,,,17,25.0,,,,
e45c6f9847b21393403067dc0d8ae0019811d3d6,d63e35247f6d4b28f40f4ce8c7a3a57b523ce97a,2015-07-27 11:46:47-07:00,Merge,,,,,17,26.0,,,,
544eb17ada6d1eed9b2586729969c8084f7bbeea,e380242b16f4e9a587770e79bcb3e93aae45c3b3,2015-07-27 12:45:11-07:00,Merge,,,,,17,26.0,,,,
544eb17ada6d1eed9b2586729969c8084f7bbeea,e45c6f9847b21393403067dc0d8ae0019811d3d6,2015-07-27 12:45:11-07:00,Merge,,,,,17,27.0,,,,
3fc46a2f7f8fa4c7bb1d603ef5cc4d7e73071c04,0a20df671fe9d65befe67bb1d43142a195035c20,2015-07-27 13:52:48-07:00,Merge,,,,,17,27.0,,,,
3fc46a2f7f8fa4c7bb1d603ef5cc4d7e73071c04,544eb17ada6d1eed9b2586729969c8084f7bbeea,2015-07-27 13:52:48-07:00,Merge,,,,,17,28.0,,,,
a171d2e4fb81f3422a561f9a21d7b1632dab1494,3fc46a2f7f8fa4c7bb1d603ef5cc4d7e73071c04,2015-07-27 13:55:04-07:00,Merge,,,,,17,29.0,,,,
a171d2e4fb81f3422a561f9a21d7b1632dab1494,f48543aba54e7edd545389fd104695463f0a354b,2015-07-27 13:55:04-07:00,Merge,,,,,17,29.0,,,,
777cad12d5b266fd20369ef8e4f1c01db382d264,ffb3f2535f3001a6a96d11736de2ea831da69b70,2015-07-27 14:14:39-07:00,Merge,,,,,17,29.0,,,,
777cad12d5b266fd20369ef8e4f1c01db382d264,a171d2e4fb81f3422a561f9a21d7b1632dab1494,2015-07-27 14:14:39-07:00,Merge,,,,,17,30.0,,,,
3900272c1aa057a3afeaf06251db45c407e0afd6,69166f17ad73412e0ab54475c5e5318e1f709e7b,2015-07-27 14:23:37-07:00,Merge,,,,,17,30.0,,,,
3900272c1aa057a3afeaf06251db45c407e0afd6,777cad12d5b266fd20369ef8e4f1c01db382d264,2015-07-27 14:23:37-07:00,Merge,,,,,17,31.0,,,,
2bd53119b1f7408aab93441096b00d62c8d12184,f4fe40e2d17ceef076c763ea5a84d52d48f88266,2015-07-27 14:31:49-07:00,Merge,,,,,17,31.0,,,,
2bd53119b1f7408aab93441096b00d62c8d12184,3900272c1aa057a3afeaf06251db45c407e0afd6,2015-07-27 14:31:49-07:00,Merge,,,,,17,32.0,,,,
6e8648f82886ac8afb011ed2a4c7d0583c714007,180798cfa4363e024d178e112bd2b6ddcfd61e54,2015-07-27 15:23:42-07:00,Merge,,,,,17,32.0,,,,
6e8648f82886ac8afb011ed2a4c7d0583c714007,2bd53119b1f7408aab93441096b00d62c8d12184,2015-07-27 15:23:42-07:00,Merge,,,,,17,33.0,,,,
11899c30806ef6c20166800b8a321c351e65b135,918925e09db7e2df8328b224fb2d43ac527cdbe6,2015-07-27 16:11:01-07:00,Merge,,,,,17,33.0,,,,
11899c30806ef6c20166800b8a321c351e65b135,6e8648f82886ac8afb011ed2a4c7d0583c714007,2015-07-27 16:11:01-07:00,Merge,,,,,17,34.0,,,,
b1e6b87a5f992e63b20d2a0bb81513ffc1a1aff4,0a0af48e515fd0de1bb91f9e933e57912e292c6d,2015-07-27 16:14:38-07:00,Merge,,,,,17,34.0,,,,
b1e6b87a5f992e63b20d2a0bb81513ffc1a1aff4,11899c30806ef6c20166800b8a321c351e65b135,2015-07-27 16:14:38-07:00,Merge,,,,,17,35.0,,,,
6c36f0dfa4beebb2605ffd4b7250dbd46a8e912b,b1e6b87a5f992e63b20d2a0bb81513ffc1a1aff4,2015-07-27 16:15:03-07:00,Merge,,,,,17,36.0,,,,
6c36f0dfa4beebb2605ffd4b7250dbd46a8e912b,60611c253eeb37bffbd814a644cf3c1e349a91b5,2015-07-27 16:15:03-07:00,Merge,,,,,17,36.0,,,,
8d5a6b063c68b50e9e2e481c04c4cfec4fa57bde,6c36f0dfa4beebb2605ffd4b7250dbd46a8e912b,2015-07-27 16:15:43-07:00,Merge,,,,,17,37.0,,,,
8d5a6b063c68b50e9e2e481c04c4cfec4fa57bde,23a190cd971842d0662fb3b06ed42d93b93c945a,2015-07-27 16:15:43-07:00,Merge,,,,,17,37.0,,,,
226c950bda91764875caa988cfb374cf1590929e,20ba173913ee98059c1d8707b35162bb146ac394,2015-07-27 16:22:58-07:00,Merge,,,,,17,37.0,,,,
226c950bda91764875caa988cfb374cf1590929e,8d5a6b063c68b50e9e2e481c04c4cfec4fa57bde,2015-07-27 16:22:58-07:00,Merge,,,,,17,38.0,,,,
a9948158eb2fbb02208fb57bbdf2e0344c375d23,93a374512ec3bdc47a55dc2d16d36ad5cd7fd8e5,2015-07-27 17:20:44-07:00,Merge,,,,,17,38.0,,,,
a9948158eb2fbb02208fb57bbdf2e0344c375d23,8866cf0580bfc89541a9a0fd2b349a9eb517fdde,2015-07-27 17:20:44-07:00,Merge,,,,,17,39.0,,,,
f37be94d3f68d171195c097220dbce60d29c7b0b,1d12f4604a69a1cbc31222b3e0d85cfe06479dad,2015-07-27 17:32:18-07:00,Merge,,,,,17,39.0,,,,
f37be94d3f68d171195c097220dbce60d29c7b0b,a9948158eb2fbb02208fb57bbdf2e0344c375d23,2015-07-27 17:32:18-07:00,Merge,,,,,17,40.0,,,,
c5bffaaf3166513da6259c44a5d1ba8e86bea5ce,d167fa27e09a0d2f69feca45dc6aca1ecdc1a613,2015-07-27 17:33:05-07:00,Merge,,,,,17,40.0,,,,
c5bffaaf3166513da6259c44a5d1ba8e86bea5ce,f37be94d3f68d171195c097220dbce60d29c7b0b,2015-07-27 17:33:05-07:00,Merge,,,,,17,41.0,,,,
10efd9806a1327e58fe0ab73d052e29e9aa5a84c,e86bb1aecab88c8c4b1eb642605314c956a38345,2015-09-01 12:23:01-07:00,Merge,,,,,53,41.0,,,,
10efd9806a1327e58fe0ab73d052e29e9aa5a84c,a7e47cada2b60cbb0122b3d20e3f6b9998789fe1,2015-09-01 12:23:01-07:00,Merge,,,,,53,42.0,,,,
01aac19d5c199d7959a40612d3828f1853e52965,10efd9806a1327e58fe0ab73d052e29e9aa5a84c,2015-09-01 12:24:17-07:00,Merge,,,,,53,43.0,,,,
01aac19d5c199d7959a40612d3828f1853e52965,12647523d202398bc38839c197cba31953c03a49,2015-09-01 12:24:17-07:00,Merge,,,,,53,43.0,,,,
a98a0f52b4a3f1639df7e489d4088ec9f4d8e021,f0a9badd2d50548544a0b53fef8cbf1e4852c5bc,2015-09-01 12:25:59-07:00,Merge,,,,,53,43.0,,,,
a98a0f52b4a3f1639df7e489d4088ec9f4d8e021,01aac19d5c199d7959a40612d3828f1853e52965,2015-09-01 12:25:59-07:00,Merge,,,,,53,44.0,,,,
cfe2bf10f24053d63352b0bf7f73c882ede24069,da03746b224d8feaf700de5cf9ab93bf0789b7e5,2015-09-01 12:26:45-07:00,Merge,,,,,53,44.0,,,,
cfe2bf10f24053d63352b0bf7f73c882ede24069,a98a0f52b4a3f1639df7e489d4088ec9f4d8e021,2015-09-01 12:26:45-07:00,Merge,,,,,53,45.0,,,,
a20d7ca481e638ba1d35568e9fdfd29311fe6b2b,3d51f524b50914c65c70526d57a057329ef28d9f,2015-09-01 13:33:05-07:00,Normal,96547.0,96544.0,941359.0,941380.0,53,46.0,-21.0,,3.0,
ae1236303ee9c5f99fa89fe5786f8eec79a663c2,a20d7ca481e638ba1d35568e9fdfd29311fe6b2b,2015-09-01 13:33:34-07:00,Merge,,96547.0,,941359.0,53,46.0,,,,
ae1236303ee9c5f99fa89fe5786f8eec79a663c2,51d7f85636911fc202ac022326c6c3fd91888698,2015-09-01 13:33:34-07:00,Merge,,,,,53,47.0,,,,
e25540c9550ce2caec4c023b5016616eae6ac6f4,4a33c9cb44905077268bee0dd070002d22bf3971,2015-09-01 15:24:29-07:00,Merge,,,,,53,47.0,,,,
e25540c9550ce2caec4c023b5016616eae6ac6f4,ae1236303ee9c5f99fa89fe5786f8eec79a663c2,2015-09-01 15:24:29-07:00,Merge,,,,,53,48.0,,,,
f7123ac8c639bc08761b987b4d0e6287a53ebf97,a5fa5673e217a80c7d0948314e21da8215df7022,2015-09-01 15:25:12-07:00,Merge,96524.0,,941484.0,,53,48.0,,,,
f7123ac8c639bc08761b987b4d0e6287a53ebf97,e25540c9550ce2caec4c023b5016616eae6ac6f4,2015-09-01 15:25:12-07:00,Merge,96524.0,,941484.0,,53,49.0,,,,
46ae7e87c7cba397677e6d2a2d1e59c4eff03bdf,f7123ac8c639bc08761b987b4d0e6287a53ebf97,2015-09-01 16:08:13-07:00,Normal,96524.0,96524.0,941484.0,941484.0,53,50.0,0.0,,0.0,
